Question_Number,English_Question,Korean_Question
a85,if i were guaranteed not to get caught i would feel tempted to use counterfeit money,"잡히지 않는다는 보장만 있으면, 위조지폐를 사용하고 싶은 유혹을 느낀다."
a86,i am not the artistic or creative type,나는 예술적 또는 창의적 타입과는 거리가 멀다.
a87,people often call me a perfectionist,사람들이 종종 나를 완벽주의자라고 한다.
a88,when i believe my opinion is right i have difficulty compromising with others,"내 의견이 옳다는 생각이 들면, 다른사람과 잘 타협하지 못하는 편이다."
a89,in a new environment the first thing i do is make friends,새로운 환경에서 내가 제일 먼저하는 일은 친구를 사귀는 것이다.
a90,i rarely discuss my problems with others,내 문제에 대하여 다른 사람과 거의 상의하지 않는다.
a91,i want to have luxurious and expensive designer goods,비싸고 호화로운 명품을 갖고 싶어한다.
a92,discussing philosophy bores me,철학을 얘기하는 것은 나에게 지루한 일이다.
a93,i prefer to do whatever i feel like at the moment rather than following a plan,나는 계획에 따라 행동하기보다는 지금 당장 맘에 내키는 일을 하는 것을 더 좋아한다.
a94,if someone offends me i have difficulty holding back my anger,"다른 사람이 내 기분을 상하게 하면, 화를 잘 참지 못한다."
a95,compared to others i am not very lively or active,나는 다른 사람에 비해 별로 생기가 없고 활동적이지 않다.
a96,even in situations where most people get emotional i dont feel much emotional disturbance,대부분의 사람들이 매우 감상적으로 되는 상황에서도 나는 별로 감정적 동요를 느끼지 않는 편이다.
a97,i want others to treat me like an important highstatus person,다른 사람들이 나를 높은 지위를 가진 중요한 사람으로 대접해 주기를 바란다.
a98,i feel compassion and sympathy for people in unfortunate situations,불행한 사람들을 보면 동정과 연민을 느낀다.
a99,i frequently make donations to help people in need,나는 도움이 필요한 사람들을 위해 기부를 많이 하는 편이다.
a100,i can hurt people i dislike without any remorse,내가 싫어하는 사람들한테는 아무렇지도 않게 해를 입힐 수도 있다.
a101,people think i am coldhearted,사람들은 나를 매정하다고 생각한다.
