Question_Number,English_Question,Korean_Question
b58,whining when left alone,- 혼자 남겨졌을 때 끙끙거립니까?
b59,barking when left alone,- 혼자 남겨졌을 때 짖습니까?
b60,howling when left alone,- 혼자 남겨졌을 때 울부짖습니까?
b61,chewing or destroying objects when left alone,- 혼자 남겨졌을 때 물건을 씹거나 파괴합니까?
b62,chewing or scratching doors windows etc when left alone,- 혼자 남겨졌을 때 문이나 창문을 긁거나 씹습니까?
b63,loss of appetite when left alone,- 혼자 남겨졌을 때 식욕을 잃습니까?
b64,urinates when left alone,- 혼자 남겨졌을 때 소변을 봅니까?
b65,defecates when left alone,- 혼자 남겨졌을 때 대변을 봅니까?
b66,hyperactivity restlessness,- 과도한 활동성이나 안절부절 못함을 보입니까?
b67,playfulness puppyish behavior,- 장난스럽거나 '강아지 같은' 행동을 합니까?
b68,active energetic behavior,- 활동적이고 에너지가 넘치는 행동을 합니까?
b69,stares intently at nothing visible,- 눈에 보이지 않는 것에 집중해서 응시합니까?
b70,snaps at invisible flies,- 보이지 않는 파리를 물려고 하거나 공격하려 합니까?
b71,chases own tail or hind end,- 자신의 꼬리나 엉덩이를 쫓아다닙니까?
b72,chases or follows shadows or light spots,- 그림자나 빛을 쫓거나 따라다닙니까?
b73,barks persistently when alarmed or excited,- 경고하거나 흥분했을 때 계속 짖습니까?
b74,licks himherself excessively,- 자신을 과도하게 핥습니까?
b75,licks people or objects excessively,- 사람이나 물건을 과도하게 핥습니까?
b76,displays other odd or repetitive behavior,- 다른 이상하거나 반복적인 행동을 보입니까?
b77,plays when you invite,- 당신이 장난을 치려고 할 때 함께 놀아줍니까?
b78,you play when the dog invites,- 개가 놀자고 할 때 당신은 함께 놀아줍니까?
b79,you reward with play when the dog does something good,- 개가 뭔가 잘했을 때 놀이로 보상합니까?
b80,you reward with treats when the dog does something good,- 개가 뭔가 잘했을 때 간식으로 보상합니까?
b81,other dogs in the household,- 가정 내에 다른 개들이 있습니까? 있다면 몇 마리이며 어떤 품종입니까?
b82,other animals in the household,- 가정 내에 개 이외의 다른 동물들이 있습니까? 있다면 어떤 동물입니까?
b83,children in the household,- 가정 내에 아이들이 있습니까? 있다면 나이는 몇 살입니까?
b84,has the dog been moved if yes how long ago,- 개가 이사한 적이 있습니까? 있다면 언제입니까?
b85,has the dog been in a car accident if yes how long ago,- 개가 교통사고를 당한 적이 있습니까? 있다면 언제입니까?
b86,has the dog been in a dogfight if yes how long ago,- 개가 개싸움에 휘말린 적이 있습니까? 있다면 언제입니까?
b87,has the dog bitten anyone if yes how long ago,- 개가 사람을 문 적이 있습니까? 있다면 언제입니까?
b88,have you been training the dog if yes what have you been training,- 개를 훈련시킨 적이 있습니까? 있다면 어떤 훈련을 했습니까?
b89,has the dog shown any tendency to be afraid of shooting sounds if yes how,- 개가 총소리 같은 것에 두려움을 보인 적이 있습니까? 있다면 어떻게 반응했습니까?
b90,which food has been given to the dog any supplements,- 개에게 어떤 음식을 줬습니까? 추가로 영양제를 줬습니까? 있다면 무엇입니까?
b91,has the dog visited the veterinarian if yes why,- 개가 수의사를 방문한 적이 있습니까? 있다면 왜 방문했습니까?
b92,urinates against objectsfurnishings in your home,- 집안의 물건이나 가구에 소변을 봅니까?
b93,urinates when approached petted handled or picked up,- 다가가거나 만지거나 안아들 때 소변을 봅니까?
b94,urinates when left alone at night or during the daytime,- 밤이나 낮에 혼자 남겨졌을 때 소변을 봅니까?
b95,defecates when left alone at night or during the daytime,- 밤이나 낮에 혼자 남겨졌을 때 대변을 봅니까?
b96,hyperactive restless has trouble settling down,- 과도한 활동성이나 안절부절 못함을 보입니까?
b97,playful puppyish boisterous,- 장난스럽거나 '강아지 같은' 행동을 합니까?
b98,active energetic always on the go,- 활동적이고 에너지가 넘치는 행동을 합니까?
b99,stares intently at nothing visible,- 눈에 보이지 않는 것에 집중해서 응시합니까?
b100,snaps at invisible flies,- 보이지 않는 파리를 물려고 하거나 공격하려 합니까?
b101,chases own tailhind end,- 자신의 꼬리나 엉덩이를 쫓아다닙니까?
b102,chasesfollows shadows light spots etc,- 그림자나 빛을 쫓거나 따라다닙니까?
b103,barks persistently when alarmed or excited,- 경고하거나 흥분했을 때 계속짖습니까?
b104,licks himherself excessively,- 자신을 과도하게 핥습니까?
b105,licks people or objects excessively,- 사람이나 물건을 과도하게 핥습니까?
b106,displays other odd or repetitive behavior,- 다른 이상하거나 반복적인 행동을 보입니까?
b107,plays when you invite,- 당신이 장난을 치려고 할 때 함께 놀아줍니까?
b108,you play when the dog invites,- 개가 놀자고 할 때 당신은 함께 놀아줍니까?
b109,you reward with play when the dog does something good,- 개가 뭔가 잘했을 때 놀이로 보상합니까?
b110,you reward with treats when the dog does something good,- 개가 뭔가 잘했을 때 간식으로 보상합니까?
b111,are there other dogs in the household if yes how many and which breeds,- 가정 내에 다른 개들이 있습니까? 있다면 몇 마리이며 어떤 품종입니까?
b112,are there other animals than dogs in the household if yes what animals,- 가정 내에 개 이외의 다른 동물들이 있습니까? 있다면 어떤 동물입니까?
b113,are there any children in your household if yes how old,- 가정 내에 아이들이 있습니까? 있다면 나이는 몇 살입니까?
b114,has the dog been moved if yes how long ago,- 개가 이사한 적이 있습니까? 있다면 언제입니까?
b115,has the dog been in a car accident if yes how long ago,- 개가 교통사고를 당한 적이 있습니까? 있다면 언제입니까?
b116,has the dog been in a dogfight if yes how long ago,- 개가 개싸움에 휘말린 적이 있습니까? 있다면 언제입니까?
b117,has the dog bitten anyone if yes how long ago,- 개가 사람을 문 적이 있습니까? 있다면 언제입니까?
b118,have you been training the dog if yes what have you been training,- 개를 훈련시킨 적이 있습니까? 있다면 어떤 훈련을 했습니까?
b119,has the dog shown any tendency to be afraid of shooting sounds if yes how,- 개가 총소리 같은 것에 두려움을 보인 적이 있습니까? 있다면 어떻게 반응했습니까?
b120,which food has been given to the dog any supplements if yes what,- 개에게 어떤 음식을 줬습니까? 추가로 영양제를 줬습니까? 있다면 무엇입니까?
